season,checkpoint,predictor,spearman
2022,75%,crowd_all,0.20583649430313325
2022,75%,media_buzz,-0.38994341447447595
2022,75%,fan_buzz,-0.24668826369934777
2022,75%,crowd_buzz,-0.183175488602202
2022,75%,stats_baseline,0.6590227983303877
2023,preseason,media_attn,0.34159607209234816
2023,preseason,media_tone,-0.11764716706718417
2023,preseason,fan_attn,0.2648403813877216
2023,preseason,crowd_all,0.381998671114265
2023,preseason,media_buzz,0.14206450362829787
2023,preseason,fan_buzz,-0.3147346164010518
2023,preseason,crowd_buzz,-0.16421405090457733
2023,preseason,stats_baseline,0.6033444966025611
2023,25%,media_attn,0.4409119752510255
2023,25%,media_tone,0.18139251748728608
2023,25%,fan_attn,0.22615473729863178
2023,25%,crowd_all,0.3586859688195991
2023,25%,media_buzz,-0.36993229449513093
2023,25%,fan_buzz,-0.40445192684213965
2023,25%,crowd_buzz,-0.38753916431314467
2023,25%,stats_baseline,0.5854202353301196
2023,50%,media_attn,0.4818238745756036
2023,50%,media_tone,0.07763402582675966
2023,50%,fan_attn,0.38664446721232615
2023,50%,crowd_all,0.4100879660205838
2023,50%,media_buzz,-0.1890326914575386
2023,50%,fan_buzz,-0.21012802363179958
2023,50%,crowd_buzz,-0.21469189268051014
2023,50%,stats_baseline,0.5958821178626351
2023,75%,media_attn,0.26775160949452953
2023,75%,media_tone,0.12401386701265962
2023,75%,fan_attn,0.41661116502482104
2023,75%,crowd_all,0.3403876479514628
2023,75%,media_buzz,-0.16222887573425454
2023,75%,fan_buzz,-0.30282799809393723
2023,75%,crowd_buzz,-0.16260165122662065
2023,75%,stats_baseline,0.6047653256052452
2024,preseason,media_attn,0.35121502285884754
2024,preseason,media_tone,0.15045025557857936
2024,preseason,fan_attn,0.06036984675233338
2024,preseason,crowd_all,0.22978248888070624
2024,preseason,media_buzz,0.06437297820657248
2024,preseason,fan_buzz,-0.06861222435320545
2024,preseason,crowd_buzz,0.11658495696585171
2024,preseason,stats_baseline,0.5563733724794673
2024,25%,media_attn,0.7354282696014861
2024,25%,media_tone,0.042138989839417204
2024,25%,fan_attn,0.29490321194576047
2024,25%,crowd_all,0.4465716940577575
2024,25%,media_buzz,-0.08082800390250784
2024,25%,fan_buzz,-0.034052974662416115
2024,25%,crowd_buzz,-0.06729807060842767
2024,25%,stats_baseline,0.7542845171956093
2024,50%,media_attn,0.3534557129201132
2024,50%,media_tone,0.41438779281733257
2024,50%,fan_attn,0.2948375684920936
2024,50%,crowd_all,0.48374889889706235
2024,50%,media_buzz,-0.22320769339625643
2024,50%,fan_buzz,-0.1978193195392235
2024,50%,crowd_buzz,-0.04742819441581863
2024,50%,stats_baseline,0.7400979266450589
2024,75%,media_attn,0.2748336960423772
2024,75%,media_tone,0.2977570446808893
2024,75%,fan_attn,0.3199377571624213
2024,75%,crowd_all,0.3468092408742825
2024,75%,media_buzz,-0.28247481225521454
2024,75%,fan_buzz,-0.030947354381055364
2024,75%,crowd_buzz,-0.05034528973215163
2024,75%,stats_baseline,0.6806191535459442
2025,preseason,media_attn,0.3928444288298985
2025,preseason,media_tone,0.2124355500009074
2025,preseason,fan_attn,0.11229960183692056
2025,preseason,crowd_all,0.22021636964207345
2025,preseason,media_buzz,0.02788062386771491
2025,preseason,fan_buzz,-0.3482624556966405
2025,preseason,crowd_buzz,-0.11617798164293063
2025,preseason,stats_baseline,0.6007362933994965
2025,25%,media_attn,0.4052489033839572
2025,25%,media_tone,0.06184551364872
2025,25%,fan_attn,0.1862690656803447
2025,25%,crowd_all,0.20835191376549964
2025,25%,media_buzz,-0.37969695829752
2025,25%,fan_buzz,-0.4660064797307549
2025,25%,crowd_buzz,-0.43127654986264496
2025,25%,stats_baseline,0.6264604777660339
2025,50%,media_attn,0.34314571020227425
2025,50%,media_tone,0.26604261810370144
2025,50%,fan_attn,0.2509734135009489
2025,50%,crowd_all,0.3446933461129517
2025,50%,media_buzz,-0.3502894471698736
2025,50%,fan_buzz,-0.2916898449465816
2025,50%,crowd_buzz,-0.22875610110371658
2025,50%,stats_baseline,0.654132833060984
2025,75%,media_attn,0.11431387388064347
2025,75%,media_tone,-0.002217294967512481
2025,75%,fan_attn,0.028927459550167667
2025,75%,crowd_all,0.041977514578048186
2025,75%,media_buzz,-0.4230106065798811
2025,75%,fan_buzz,-0.3702714822421462
2025,75%,crowd_buzz,-0.32453799700026126
2025,75%,stats_baseline,0.6748998831973734
2026,preseason,media_attn,0.1768187476701747
2026,preseason,media_tone,0.20162687297099957
2026,preseason,fan_attn,0.214898226153893
2026,preseason,crowd_all,0.22882300490414623
2026,preseason,media_buzz,-0.21543017967806066
2026,preseason,fan_buzz,-0.29662635983107305
2026,preseason,crowd_buzz,-0.20753878546996046
2026,preseason,stats_baseline,0.49927519750081306
2026,25%,media_attn,0.41389506060232983
2026,25%,media_tone,-0.10224193461307553
2026,25%,fan_attn,0.3328883037465448
2026,25%,crowd_all,0.3184710727633457
2026,25%,media_buzz,-0.0007390983225041603
2026,25%,fan_buzz,-0.06786827048308568
2026,25%,crowd_buzz,-0.06467052698094644
2026,25%,stats_baseline,0.7256341968699751
2026,50%,media_attn,0.4148386010611574
2026,50%,media_tone,0.164386968972853
2026,50%,fan_attn,0.3628269899574505
2026,50%,crowd_all,0.41986858485138506
2026,50%,media_buzz,-0.11410969510409436
2026,50%,fan_buzz,-0.1756260705990359
2026,50%,crowd_buzz,-0.08294366716420219
2026,50%,stats_baseline,0.7717307817070436
2026,75%,media_attn,0.2320394490046244
2026,75%,media_tone,0.059388868721049974
2026,75%,fan_attn,0.3060657123874199
2026,75%,crowd_all,0.24885870324626794
2026,75%,media_buzz,-0.20749140026192564
2026,75%,fan_buzz,-0.11441292812155192
2026,75%,crowd_buzz,-0.08660804223377197
2026,75%,stats_baseline,0.7606011194384101
